,Country,Top_Genre,Top_Anime,Avg_Age,User_Num,Male_Ratio,Female_Ratio,Top_Anime_Male,Top_Anime_Female,Image_URL_Male,Image_URL_Female
23,Colombia,"Action, Adventure, Fantasy",Death Note,1988.7044482784488,85,0.86,0.14,Death Note,Cardcaptor Sakura,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/8/60781.jpg
24,Congo,"Action, Adventure, Fantasy, Romance",Bishoujo Senshi Sailor Moon,1986.0,1,0.0,1.0,,Bishoujo Senshi Sailor Moon,,https://cdn.myanimelist.net/images/anime/1440/92258.jpg
25,Costa Rica,Comedy,Death Note,1990.8939001848428,27,0.86,0.14,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
26,Croatia,"Action, Adventure, Fantasy",Death Note,1989.8062784455597,158,0.7,0.28,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
27,Cuba,"Action, Sci-Fi",Death Note,1994.7745358090185,2,0.8,0.2,009 Re:Cyborg,.hack//Sign,https://cdn.myanimelist.net/images/anime/9/40189.jpg,https://cdn.myanimelist.net/images/anime/1443/94665.jpg
28,Cyprus,"Action, Adventure, Fantasy",Bleach,1964.401114206128,11,0.35,0.65,Naruto,Elfen Lied,https://cdn.myanimelist.net/images/anime/13/17405.jpg,https://cdn.myanimelist.net/images/anime/1780/121555.jpg
29,Czechia,"Action, Adventure, Fantasy",100-man no Inochi no Ue ni Ore wa Tatteiru,1991.7898550724638,2,0.4,0.6,07-Ghost,"""Oshi no Ko""",https://cdn.myanimelist.net/images/anime/3/22605.jpg,https://cdn.myanimelist.net/images/anime/1812/134736.jpg
30,Côte d'Ivoire,"Action, Adventure, Fantasy",Air,1992.0,1,0.0,1.0,,Air,,https://cdn.myanimelist.net/images/anime/8/22059.jpg
31,Denmark,"Action, Adventure, Fantasy",Death Note,1989.937087134319,346,0.74,0.26,Death Note,Ouran Koukou Host Club,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/2/71992.jpg
32,Dominican Rep.,"Action, Adventure, Fantasy",Bleach,1991.0,1,1.0,0.0,Bleach,,https://cdn.myanimelist.net/images/anime/3/40451.jpg,
33,Ecuador,Comedy,Bakemonogatari,1989.0893574297188,14,0.8,0.2,Bakemonogatari,Death Note,https://cdn.myanimelist.net/images/anime/11/75274.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
34,Egypt,"Action, Adventure, Fantasy",Death Note,1991.3482862107091,55,0.66,0.34,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
35,El Salvador,"Comedy, Romance",Death Note,1987.904290429043,9,0.73,0.27,Naruto,Bleach,https://cdn.myanimelist.net/images/anime/13/17405.jpg,https://cdn.myanimelist.net/images/anime/3/40451.jpg
36,Estonia,"Action, Adventure, Fantasy",Death Note,1989.4100397300876,102,0.7,0.3,Death Note,Elfen Lied,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/1780/121555.jpg
37,Finland,Comedy,Death Note,1990.510360534396,647,0.66,0.33,Death Note,Sen to Chihiro no Kamikakushi,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/6/79597.jpg
38,France,Comedy,Code Geass: Hangyaku no Lelouch,1989.305664528189,858,0.74,0.26,Code Geass: Hangyaku no Lelouch,Death Note,https://cdn.myanimelist.net/images/anime/1032/135088.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
39,Georgia,"Action, Adventure, Fantasy",Death Note,1989.6739420072188,336,0.73,0.27,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
40,Germany,"Action, Adventure, Fantasy",Death Note,1990.0380423435086,1295,0.71,0.28,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
41,Ghana,"Action, Adventure, Fantasy",Bleach,1988.0,1,1.0,0.0,Bleach,,https://cdn.myanimelist.net/images/anime/3/40451.jpg,
42,Greece,"Action, Adventure, Fantasy",Death Note,1990.3145566090352,160,0.7,0.3,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
43,Greenland,"Action, Drama, Sci-Fi",Aria the Animation,1984.0,1,1.0,0.0,Aria the Animation,,https://cdn.myanimelist.net/images/anime/2/77620.jpg,
44,Guatemala,Comedy,Cardcaptor Sakura,1985.1788354898335,19,0.95,0.05,Death Note,Cardcaptor Sakura,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/8/60781.jpg
45,Guyana,"Action, Adventure, Fantasy",Bakemonogatari,1989.0896551724138,2,1.0,0.0,Bakemonogatari,,https://cdn.myanimelist.net/images/anime/11/75274.jpg,
46,Haiti,"Action, Adventure, Fantasy",07-Ghost,1995.0,1,1.0,0.0,07-Ghost,,https://cdn.myanimelist.net/images/anime/3/22605.jpg,
47,Honduras,"Comedy, Romance",Vampire Knight,1991.90525477707,14,0.6,0.4,Angel Beats!,Ouran Koukou Host Club,https://cdn.myanimelist.net/images/anime/1244/111115.jpg,https://cdn.myanimelist.net/images/anime/2/71992.jpg
48,Hungary,"Action, Adventure, Fantasy",Death Note,1989.2493416817836,364,0.55,0.45,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
49,Iceland,"Action, Adventure, Fantasy",Death Note,1991.074250356973,40,0.83,0.17,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
50,India,"Action, Adventure, Fantasy",Death Note,1990.8928519222336,135,0.85,0.15,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
51,Indonesia,Comedy,Angel Beats!,1992.041928982009,427,0.75,0.25,Angel Beats!,Kuroshitsuji,https://cdn.myanimelist.net/images/anime/1244/111115.jpg,https://cdn.myanimelist.net/images/anime/5/27013.jpg
52,Iran,"Action, Adventure, Fantasy",Death Note,1988.2779677576941,19,0.57,0.43,Death Note,Baccano!,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/3/14547.jpg
53,Iraq,Comedy,Bleach,1982.234369150131,10,0.86,0.14,Bleach,Death Note,https://cdn.myanimelist.net/images/anime/3/40451.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
54,Ireland,"Action, Adventure, Fantasy",Death Note,1990.292507914175,179,0.7,0.29,Death Note,Ouran Koukou Host Club,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/2/71992.jpg
55,Israel,"Action, Adventure, Fantasy",Death Note,1992.0808792725302,349,0.57,0.43,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
56,Italy,Comedy,Death Note,1989.1857839164177,657,0.67,0.32,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
57,Jamaica,"Action, Adventure, Fantasy",Bleach,1989.4666666666667,18,0.85,0.15,Bleach,Bleach,https://cdn.myanimelist.net/images/anime/3/40451.jpg,https://cdn.myanimelist.net/images/anime/3/40451.jpg
58,Japan,Comedy,Death Note,1990.128961618768,454,0.64,0.35,Death Note,Ouran Koukou Host Club,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/2/71992.jpg
59,Jordan,"Action, Adventure, Fantasy",Bleach,1990.7841513897101,14,0.58,0.42,Bleach,Byousoku 5 Centimeter,https://cdn.myanimelist.net/images/anime/3/40451.jpg,https://cdn.myanimelist.net/images/anime/1410/112994.jpg
60,Kazakhstan,"Action, Adventure, Fantasy",Code Geass: Hangyaku no Lelouch,1993.626768226333,28,0.89,0.11,Code Geass: Hangyaku no Lelouch,Byousoku 5 Centimeter,https://cdn.myanimelist.net/images/anime/1032/135088.jpg,https://cdn.myanimelist.net/images/anime/1410/112994.jpg
61,Kenya,Comedy,Beelzebub,1993.0658135283363,3,0.97,0.03,91 Days,Beelzebub,https://cdn.myanimelist.net/images/anime/13/80515.jpg,https://cdn.myanimelist.net/images/anime/3/28013.jpg
62,Kuwait,"Action, Adventure, Fantasy",Death Note,1989.2932536962694,81,0.64,0.36,Death Note,Ouran Koukou Host Club,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/2/71992.jpg
63,Kyrgyzstan,"Comedy, Romance",Amaenaide yo!! Katsu!!,1988.573888091822,3,1.0,0.0,Amaenaide yo!! Katsu!!,,https://cdn.myanimelist.net/images/anime/2/15153.jpg,
64,Latvia,"Action, Adventure, Fantasy",Death Note,1989.9670692194404,124,0.69,0.31,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
65,Lebanon,"Action, Adventure, Fantasy",Death Note,1988.2238667900092,15,0.87,0.13,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
66,Libya,"Action, Adventure, Fantasy",Death Note,1990.6950904392766,6,0.44,0.56,Basilisk: Kouga Ninpou Chou,Death Note,https://cdn.myanimelist.net/images/anime/1103/133549.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
67,Lithuania,"Action, Adventure, Fantasy",Death Note,1990.774472352211,264,0.7,0.3,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
68,Luxembourg,"Action, Adventure, Fantasy",Elfen Lied,1990.9183673469388,17,0.82,0.18,Bleach,Death Note,https://cdn.myanimelist.net/images/anime/3/40451.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
69,Macedonia,"Action, Adventure, Fantasy",Bleach,1988.2559665871122,15,0.9,0.1,Bleach,Code Geass: Hangyaku no Lelouch R2,https://cdn.myanimelist.net/images/anime/3/40451.jpg,https://cdn.myanimelist.net/images/anime/1088/135089.jpg
70,Malaysia,"Action, Adventure, Fantasy",Fate/stay night,1990.6781187872764,332,0.66,0.34,Code Geass: Hangyaku no Lelouch,Ouran Koukou Host Club,https://cdn.myanimelist.net/images/anime/1032/135088.jpg,https://cdn.myanimelist.net/images/anime/2/71992.jpg
71,Mauritania,Sports,Afro Samurai,1993.0,1,1.0,0.0,Afro Samurai,,https://cdn.myanimelist.net/images/anime/3/15874.jpg,
72,Mexico,Comedy,Death Note,1988.881315451038,194,0.79,0.21,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
73,Moldova,"Action, Adventure, Fantasy",Death Note,1993.515659140568,18,0.48,0.52,Bleach,Paradise Kiss,https://cdn.myanimelist.net/images/anime/3/40451.jpg,https://cdn.myanimelist.net/images/anime/7/80636.jpg
74,Mongolia,"Action, Adventure, Fantasy",Fullmetal Alchemist: Brotherhood,1992.7605974969722,14,0.93,0.07,Fullmetal Alchemist: Brotherhood,07-Ghost,https://cdn.myanimelist.net/images/anime/1208/94745.jpg,https://cdn.myanimelist.net/images/anime/3/22605.jpg
75,Montenegro,"Action, Adventure, Fantasy",Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,1992.170784103115,7,0.52,0.48,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Durarara!!,https://cdn.myanimelist.net/images/anime/5/79697.jpg,https://cdn.myanimelist.net/images/anime/10/71772.jpg
76,Morocco,"Action, Adventure, Fantasy",Death Note,1989.8002500781495,22,0.68,0.32,Death Note,Death Note,https://cdn.myanimelist.net/images/anime/9/9453.jpg,https://cdn.myanimelist.net/images/anime/9/9453.jpg
77,Myanmar,"Comedy, Romance",Angel Beats!,1992.9818181818182,3,1.0,0.0,Angel Beats!,,https://cdn.myanimelist.net/images/anime/1244/111115.jpg,
78,Namibia,"Comedy, Romance",Howl no Ugoku Shiro,1980.2727272727273,2,0.27,0.73,30-sai no Hoken Taiiku,07-Ghost,https://cdn.myanimelist.net/images/anime/2/81172.jpg,https://cdn.myanimelist.net/images/anime/3/22605.jpg
